date,dealer name,company,model,engine,transmission,color,body style,dealer region
05-01-2022,Pitre Buick-Pontiac-Gmc of Scottsdale,Ford,Contour,Double Overhead Camshaft,Auto,Pale White,Sedan,Pasco
05-01-2022,Progressive Shippers Cooperative Association No,Volkswagen,Jetta,Double Overhead Camshaft,Auto,Black,Passenger,Janesville
05-01-2022,Rabun Used Car Sales,Mitsubishi,Montero Sport,Double Overhead Camshaft,Auto,Black,SUV,Scottsdale
05-01-2022,Chrysler of Tri-Cities,Lincoln,Town car,Overhead Camshaft,Manual,Black,Hatchback,Pasco
05-01-2022,Motor Vehicle Branch Office,Ford,Focus,Overhead Camshaft,Manual,Black,Hardtop,Austin
05-01-2022,Classic Chevy,Audi,A6,Overhead Camshaft,Manual,Black,SUV,Scottsdale
05-01-2022,Clay Johnson Auto Sales,Acura,TL,Double Overhead Camshaft,Auto,Black,Hatchback,Austin
05-01-2022,Tri-State Mack Inc,Nissan,Pathfinder,Double Overhead Camshaft,Auto,Pale White,Hardtop,Greenville
05-01-2022,Enterprise Rent A Car,Ford,Mustang,Overhead Camshaft,Manual,Pale White,Hatchback,Aurora
05-01-2022,New Castle Ford Lincoln Mercury,Oldsmobile,Cutlass,Double Overhead Camshaft,Auto,Pale White,Sedan,Aurora
05-01-2022,Pars Auto Sales,Chevrolet,Corvette,Double Overhead Camshaft,Auto,Pale White,SUV,Greenville
05-01-2022,Pitre Buick-Pontiac-Gmc of Scottsdale,Chevrolet,Impala,Overhead Camshaft,Manual,Pale White,Hatchback,Pasco
05-01-2022,Progressive Shippers Cooperative Association No,Volkswagen,Cabrio,Overhead Camshaft,Manual,Pale White,Sedan,Janesville
05-01-2022,Rabun Used Car Sales,Dodge,Dakota,Overhead Camshaft,Manual,Pale White,Sedan,Scottsdale
05-01-2022,Race Car Help,Chrysler,300M,Double Overhead Camshaft,Auto,Black,SUV,Austin
05-01-2022,Tri-State Mack Inc,BMW,328i,Double Overhead Camshaft,Auto,Black,Sedan,Scottsdale
05-01-2022,U-Haul CO,Oldsmobile,Bravada,Double Overhead Camshaft,Auto,Pale White,Hatchback,Austin
05-01-2022,Buddy Storbeck's Diesel Service Inc,Nissan,Maxima,Overhead Camshaft,Manual,Pale White,Sedan,Middletown
05-01-2022,Race Car Help,Dodge,Ram Pickup,Overhead Camshaft,Manual,Pale White,Hardtop,Austin
05-01-2022,Saab-Belle Dodge,Chrysler,Concorde,Double Overhead Camshaft,Auto,Pale White,Hardtop,Aurora
05-01-2022,Chrysler of Tri-Cities,Chrysler,300M,Double Overhead Camshaft,Auto,Pale White,SUV,Pasco
05-01-2022,Diehl Motor CO Inc,Volvo,V70,Double Overhead Camshaft,Auto,Black,Passenger,Janesville
05-01-2022,Enterprise Rent A Car,Nissan,Quest,Overhead Camshaft,Manual,Black,SUV,Scottsdale
05-01-2022,Gartner Buick Hyundai Saab,Chrysler,LHS,Double Overhead Camshaft,Auto,Black,Hatchback,Austin
05-01-2022,Hatfield Volkswagen,Honda,Accord,Overhead Camshaft,Manual,Black,Sedan,Janesville
05-01-2022,Iceberg Rentals,Nissan,Maxima,Overhead Camshaft,Manual,Pale White,Sedan,Scottsdale
05-01-2022,McKinney Dodge Chrysler Jeep,Dodge,Durango,Double Overhead Camshaft,Auto,Pale White,SUV,Austin
06-01-2022,Race Car Help,Lexus,ES300,Double Overhead Camshaft,Auto,Black,SUV,Austin
06-01-2022,Ryder Truck Rental and Leasing,BMW,328i,Double Overhead Camshaft,Auto,Black,Sedan,Middletown
06-01-2022,Gartner Buick Hyundai Saab,Toyota,Land Cruiser,Double Overhead Camshaft,Auto,Pale White,SUV,Greenville
06-01-2022,Buddy Storbeck's Diesel Service Inc,Mercedes-B,SL-Class,Overhead Camshaft,Manual,Black,Hardtop,Janesville
06-01-2022,Ryder Truck Rental and Leasing,Ford,Explorer,Double Overhead Camshaft,Auto,Pale White,Hatchback,Middletown
06-01-2022,Saab-Belle Dodge,Nissan,Pathfinder,Double Overhead Camshaft,Auto,Pale White,Hatchback,Aurora
06-01-2022,Chrysler Plymouth,Volvo,C70,Double Overhead Camshaft,Auto,Black,Hatchback,Janesville
06-01-2022,Chrysler of Tri-Cities,Chevrolet,Prizm,Overhead Camshaft,Manual,Pale White,Hardtop,Pasco
06-01-2022,Motor Vehicle Branch Office,Mercury,Grand Marquis,Overhead Camshaft,Manual,Pale White,SUV,Middletown
06-01-2022,Nebo Chevrolet,Chevrolet,Camaro,Double Overhead Camshaft,Auto,Pale White,Sedan,Aurora
09-01-2022,Saab-Belle Dodge,Subaru,Outback,Double Overhead Camshaft,Auto,Pale White,SUV,Aurora
09-01-2022,Scrivener Performance Engineering,Buick,Park Avenue,Double Overhead Camshaft,Auto,Pale White,Hatchback,Greenville
09-01-2022,Star Enterprises Inc,Ford,Taurus,Overhead Camshaft,Manual,Black,SUV,Pasco
09-01-2022,Suburban Ford,Chevrolet,Cavalier,Overhead Camshaft,Manual,Pale White,SUV,Janesville
09-01-2022,McKinney Dodge Chrysler Jeep,Audi,A4,Double Overhead Camshaft,Auto,Black,Hardtop,Austin
09-01-2022,U-Haul CO,Ford,Focus,Overhead Camshaft,Manual,Black,Hardtop,Janesville
09-01-2022,Motor Vehicle Branch Office,Mitsubishi,Diamante,Overhead Camshaft,Manual,Black,Hatchback,Austin
09-01-2022,Nebo Chevrolet,Lexus,GS400,Double Overhead Camshaft,Auto,Black,Hatchback,Middletown
09-01-2022,Scrivener Performance Engineering,Mercedes-B,M-Class,Overhead Camshaft,Manual,Pale White,Hatchback,Greenville
09-01-2022,Star Enterprises Inc,Chrysler,Concorde,Double Overhead Camshaft,Auto,Pale White,Hatchback,Pasco
09-01-2022,Suburban Ford,Chrysler,Sebring Coupe,Double Overhead Camshaft,Auto,Pale White,Sedan,Janesville
09-01-2022,Tri-State Mack Inc,Chevrolet,Monte Carlo,Overhead Camshaft,Manual,Pale White,Hatchback,Scottsdale
09-01-2022,Clay Johnson Auto Sales,Cadillac,Eldorado,Double Overhead Camshaft,Auto,Pale White,Passenger,Austin
09-01-2022,Diehl Motor CO Inc,Saturn,LW,Overhead Camshaft,Manual,Pale White,Hatchback,Middletown
09-01-2022,Enterprise Rent A Car,Hyundai,Sonata,Overhead Camshaft,Manual,Black,SUV,Aurora
09-01-2022,Gartner Buick Hyundai Saab,Mercury,Sable,Double Overhead Camshaft,Auto,Pale White,Sedan,Greenville
09-01-2022,Suburban Ford,Mercedes-B,SL-Class,Overhead Camshaft,Manual,Pale White,Hardtop,Greenville
09-01-2022,Pars Auto Sales,Volvo,C70,Overhead Camshaft,Manual,Pale White,Hatchback,Pasco
09-01-2022,Pitre Buick-Pontiac-Gmc of Scottsdale,Chevrolet,Metro,Double Overhead Camshaft,Auto,Pale White,Passenger,Janesville
09-01-2022,Progressive Shippers Cooperative Association No,Jaguar,S-Type,Overhead Camshaft,Manual,Pale White,Passenger,Scottsdale
10-01-2022,Tri-State Mack Inc,Acura,TL,Double Overhead Camshaft,Auto,Black,Hatchback,Scottsdale
10-01-2022,New Castle Ford Lincoln Mercury,BMW,323i,Double Overhead Camshaft,Auto,Pale White,Hatchback,Aurora
10-01-2022,U-Haul CO,Plymouth,Voyager,Overhead Camshaft,Manual,Pale White,Passenger,Austin
10-01-2022,Hatfield Volkswagen,Nissan,Maxima,Overhead Camshaft,Manual,Pale White,Sedan,Pasco
10-01-2022,Rabun Used Car Sales,Chrysler,Cirrus,Double Overhead Camshaft,Auto,Pale White,Passenger,Austin
12-01-2022,U-Haul CO,Mercury,Grand Marquis,Overhead Camshaft,Manual,Pale White,SUV,Austin
12-01-2022,Buddy Storbeck's Diesel Service Inc,Lexus,ES300,Double Overhead Camshaft,Auto,Pale White,SUV,Middletown
12-01-2022,C & M Motors Inc,Dodge,Intrepid,Overhead Camshaft,Manual,Black,Sedan,Aurora
12-01-2022,Capitol KIA,Nissan,Maxima,Overhead Camshaft,Manual,Pale White,Sedan,Greenville
12-01-2022,Chrysler of Tri-Cities,Dodge,Avenger,Double Overhead Camshaft,Auto,Pale White,Passenger,Pasco
12-01-2022,Chrysler Plymouth,Chevrolet,Corvette,Overhead Camshaft,Manual,Pale White,SUV,Janesville
12-01-2022,Pars Auto Sales,Acura,RL,Overhead Camshaft,Manual,Black,SUV,Greenville
12-01-2022,Pitre Buick-Pontiac-Gmc of Scottsdale,Honda,Odyssey,Overhead Camshaft,Manual,Pale White,Passenger,Pasco
12-01-2022,Progressive Shippers Cooperative Association No,Oldsmobile,Intrigue,Overhead Camshaft,Manual,Pale White,SUV,Janesville
12-01-2022,Rabun Used Car Sales,Acura,RL,Overhead Camshaft,Manual,Pale White,SUV,Scottsdale
12-01-2022,Race Car Help,Ford,Taurus,Overhead Camshaft,Manual,Black,SUV,Austin
12-01-2022,Ryder Truck Rental and Leasing,Oldsmobile,Silhouette,Overhead Camshaft,Manual,Pale White,Sedan,Middletown
12-01-2022,Progressive Shippers Cooperative Association No,Saab,05-Sep,Overhead Camshaft,Manual,Pale White,Hatchback,Janesville
12-01-2022,Rabun Used Car Sales,Honda,Civic,Overhead Camshaft,Manual,Black,Hatchback,Scottsdale
12-01-2022,Race Car Help,BMW,528i,Overhead Camshaft,Manual,Pale White,SUV,Austin
12-01-2022,Ryder Truck Rental and Leasing,Oldsmobile,Silhouette,Double Overhead Camshaft,Auto,Pale White,Sedan,Middletown
12-01-2022,Saab-Belle Dodge,Lexus,LS400,Double Overhead Camshaft,Auto,Black,Sedan,Aurora
12-01-2022,Scrivener Performance Engineering,Cadillac,Eldorado,Double Overhead Camshaft,Auto,Black,Passenger,Greenville
12-01-2022,Iceberg Rentals,Volkswagen,Jetta,Double Overhead Camshaft,Auto,Pale White,Passenger,Janesville
12-01-2022,McKinney Dodge Chrysler Jeep,Pontiac,Bonneville,Double Overhead Camshaft,Auto,Pale White,Hatchback,Scottsdale
12-01-2022,Motor Vehicle Branch Office,Chevrolet,Monte Carlo,Overhead Camshaft,Manual,Black,Hatchback,Austin
12-01-2022,Nebo Chevrolet,Oldsmobile,Aurora,Overhead Camshaft,Manual,Pale White,Passenger,Middletown
12-01-2022,New Castle Ford Lincoln Mercury,Ford,Mustang,Overhead Camshaft,Manual,Pale White,Hatchback,Aurora
12-01-2022,Pars Auto Sales,Mitsubishi,Diamante,Double Overhead Camshaft,Auto,Black,Hatchback,Greenville
12-01-2022,Race Car Help,Ford,Expedition,Overhead Camshaft,Manual,Pale White,SUV,Middletown
12-01-2022,Diehl Motor CO Inc,Mercedes-B,M-Class,Overhead Camshaft,Manual,Pale White,Hardtop,Middletown
12-01-2022,Gartner Buick Hyundai Saab,Ford,Focus,Overhead Camshaft,Manual,Black,Hardtop,Greenville
12-01-2022,Scrivener Performance Engineering,Volkswagen,Jetta,Double Overhead Camshaft,Auto,Pale White,Passenger,Pasco
12-01-2022,Star Enterprises Inc,BMW,528i,Overhead Camshaft,Manual,Black,SUV,Janesville
12-01-2022,Rabun Used Car Sales,Subaru,Forester,Double Overhead Camshaft,Auto,Black,Hardtop,Scottsdale
13-01-2022,Classic Chevy,Plymouth,Breeze,Overhead Camshaft,Manual,Pale White,SUV,Scottsdale
13-01-2022,Clay Johnson Auto Sales,Volkswagen,Beetle,Double Overhead Camshaft,Auto,Pale White,SUV,Austin
13-01-2022,Diehl Motor CO Inc,Dodge,Intrepid,Overhead Camshaft,Manual,Black,Sedan,Middletown
13-01-2022,Enterprise Rent A Car,Hyundai,Elantra,Overhead Camshaft,Manual,Pale White,Sedan,Aurora
13-01-2022,Saab-Belle Dodge,Saturn,SW,Overhead Camshaft,Manual,Black,Passenger,Aurora
13-01-2022,Scrivener Performance Engineering,Lincoln,Continental,Overhead Camshaft,Manual,Pale White,Passenger,Greenville
13-01-2022,Star Enterprises Inc,Chevrolet,Camaro,Double Overhead Camshaft,Auto,Pale White,Sedan,Pasco
13-01-2022,Nebo Chevrolet,Nissan,Pathfinder,Overhead Camshaft,Manual,Pale White,Hardtop,Austin
13-01-2022,Star Enterprises Inc,Toyota,RAV4,Double Overhead Camshaft,Auto,Pale White,Hatchback,Pasco
13-01-2022,Suburban Ford,Mercury,Villager,Double Overhead Camshaft,Auto,Pale White,Passenger,Janesville
13-01-2022,Tri-State Mack Inc,Jaguar,S-Type,Overhead Camshaft,Manual,Pale White,Passenger,Scottsdale
13-01-2022,U-Haul CO,Mercedes-B,SLK,Overhead Camshaft,Manual,Pale White,Passenger,Austin
13-01-2022,Pitre Buick-Pontiac-Gmc of Scottsdale,Volkswagen,Jetta,Double Overhead Camshaft,Auto,Pale White,Passenger,Pasco
13-01-2022,Progressive Shippers Cooperative Association No,Buick,Regal,Double Overhead Camshaft,Auto,Pale White,Passenger,Janesville
13-01-2022,Rabun Used Car Sales,Mercedes-B,C-Class,Double Overhead Camshaft,Auto,Black,Hatchback,Scottsdale
13-01-2022,Race Car Help,Toyota,Sienna,Overhead Camshaft,Manual,Black,Passenger,Austin
13-01-2022,Race Car Help,Volvo,S70,Overhead Camshaft,Manual,Black,Hardtop,Austin
13-01-2022,U-Haul CO,Nissan,Altima,Double Overhead Camshaft,Auto,Pale White,Hatchback,Middletown
13-01-2022,Progressive Shippers Cooperative Association No,Toyota,Celica,Overhead Camshaft,Manual,Pale White,SUV,Aurora
13-01-2022,Rabun Used Car Sales,Saturn,LS,Double Overhead Camshaft,Auto,Pale White,Sedan,Greenville
17-01-2022,Gartner Buick Hyundai Saab,Mitsubishi,Diamante,Overhead Camshaft,Manual,Pale White,Hatchback,Greenville
17-01-2022,Hatfield Volkswagen,Lexus,GS400,Double Overhead Camshaft,Auto,Pale White,Hatchback,Pasco
17-01-2022,Iceberg Rentals,Porsche,Carrera Cabrio,Double Overhead Camshaft,Auto,Pale White,Passenger,Janesville
17-01-2022,McKinney Dodge Chrysler Jeep,Dodge,Ram Van,Double Overhead Camshaft,Auto,Pale White,Hatchback,Scottsdale
17-01-2022,Tri-State Mack Inc,Oldsmobile,Silhouette,Overhead Camshaft,Manual,Pale White,Sedan,Scottsdale
17-01-2022,U-Haul CO,Audi,A6,Overhead Camshaft,Manual,Black,SUV,Austin
17-01-2022,Progressive Shippers Cooperative Association No,Oldsmobile,Cutlass,Double Overhead Camshaft,Auto,Pale White,Sedan,Janesville
17-01-2022,Rabun Used Car Sales,Mercedes-B,S-Class,Double Overhead Camshaft,Auto,Black,SUV,Scottsdale
17-01-2022,Buddy Storbeck's Diesel Service Inc,Mitsubishi,3000GT,Double Overhead Camshaft,Auto,Black,Sedan,Middletown
17-01-2022,C & M Motors Inc,BMW,528i,Double Overhead Camshaft,Auto,Black,SUV,Aurora
17-01-2022,Capitol KIA,Chevrolet,Malibu,Overhead Camshaft,Manual,Pale White,Hatchback,Greenville
17-01-2022,Chrysler of Tri-Cities,Chrysler,300M,Double Overhead Camshaft,Auto,Pale White,SUV,Pasco
17-01-2022,Ryder Truck Rental and Leasing,Ford,Mustang,Overhead Camshaft,Manual,Black,Hatchback,Middletown
17-01-2022,Saab-Belle Dodge,Dodge,Viper,Double Overhead Camshaft,Auto,Pale White,SUV,Aurora
17-01-2022,Scrivener Performance Engineering,Jaguar,S-Type,Overhead Camshaft,Manual,Pale White,Passenger,Greenville
17-01-2022,Star Enterprises Inc,Mercedes-B,SLK,Overhead Camshaft,Manual,Black,Passenger,Pasco
17-01-2022,Race Car Help,Mercedes-B,E-Class,Double Overhead Camshaft,Auto,Pale White,Sedan,Pasco
17-01-2022,Ryder Truck Rental and Leasing,Pontiac,Grand Am,Double Overhead Camshaft,Auto,Pale White,SUV,Janesville
17-01-2022,Saab-Belle Dodge,Saturn,LW,Overhead Camshaft,Manual,Pale White,Hatchback,Scottsdale
17-01-2022,Ryder Truck Rental and Leasing,Saturn,SC,Double Overhead Camshaft,Auto,Black,Hardtop,Middletown
19-01-2022,Motor Vehicle Branch Office,Mercury,Sable,Overhead Camshaft,Manual,Pale White,Sedan,Austin
19-01-2022,Nebo Chevrolet,Toyota,Land Cruiser,Double Overhead Camshaft,Auto,Black,SUV,Middletown
19-01-2022,Race Car Help,Nissan,Maxima,Overhead Camshaft,Manual,Pale White,Sedan,Austin
19-01-2022,Ryder Truck Rental and Leasing,Oldsmobile,Bravada,Double Overhead Camshaft,Auto,Pale White,Hatchback,Middletown
19-01-2022,Chrysler Plymouth,Volkswagen,Passat,Overhead Camshaft,Manual,Pale White,Hatchback,Janesville
19-01-2022,Classic Chevy,Volkswagen,Passat,Double Overhead Camshaft,Auto,Pale White,Hatchback,Scottsdale
19-01-2022,Suburban Ford,Nissan,Xterra,Double Overhead Camshaft,Auto,Black,Passenger,Janesville
19-01-2022,Tri-State Mack Inc,Ford,Mustang,Double Overhead Camshaft,Auto,Pale White,Hatchback,Scottsdale
19-01-2022,Star Enterprises Inc,Volkswagen,Passat,Double Overhead Camshaft,Auto,Pale White,Hatchback,Middletown
19-01-2022,Suburban Ford,Volvo,S40,Double Overhead Camshaft,Auto,Pale White,Sedan,Aurora
21-01-2022,New Castle Ford Lincoln Mercury,Mercury,Villager,Overhead Camshaft,Manual,Pale White,Passenger,Aurora
21-01-2022,Pars Auto Sales,Nissan,Frontier,Double Overhead Camshaft,Auto,Pale White,Hatchback,Greenville
21-01-2022,Pitre Buick-Pontiac-Gmc of Scottsdale,Acura,RL,Overhead Camshaft,Manual,Pale White,SUV,Pasco
21-01-2022,Progressive Shippers Cooperative Association No,Mitsubishi,Montero Sport,Overhead Camshaft,Manual,Pale White,SUV,Janesville
21-01-2022,Rabun Used Car Sales,BMW,528i,Overhead Camshaft,Manual,Black,SUV,Scottsdale
21-01-2022,Saab-Belle Dodge,BMW,528i,Double Overhead Camshaft,Auto,Pale White,SUV,Aurora
21-01-2022,Scrivener Performance Engineering,Ford,Crown Victoria,Double Overhead Camshaft,Auto,Black,Passenger,Greenville
21-01-2022,Star Enterprises Inc,Nissan,Frontier,Overhead Camshaft,Manual,Pale White,Hatchback,Pasco
21-01-2022,Suburban Ford,Honda,Accord,Double Overhead Camshaft,Auto,Pale White,Sedan,Janesville
21-01-2022,Tri-State Mack Inc,Toyota,Camry,Overhead Camshaft,Manual,Black,Hatchback,Scottsdale
21-01-2022,Clay Johnson Auto Sales,Cadillac,Eldorado,Double Overhead Camshaft,Auto,Pale White,Passenger,Austin
21-01-2022,Diehl Motor CO Inc,Lexus,ES300,Double Overhead Camshaft,Auto,Pale White,Hatchback,Middletown
21-01-2022,Enterprise Rent A Car,Volvo,S40,Overhead Camshaft,Manual,Black,Sedan,Aurora
21-01-2022,Gartner Buick Hyundai Saab,Lincoln,Navigator,Double Overhead Camshaft,Auto,Black,Sedan,Greenville
21-01-2022,Hatfield Volkswagen,Nissan,Frontier,Double Overhead Camshaft,Auto,Pale White,Hatchback,Pasco
21-01-2022,Chrysler Plymouth,Chevrolet,Prizm,Double Overhead Camshaft,Auto,Pale White,Hardtop,Janesville
21-01-2022,Diehl Motor CO Inc,Toyota,Tacoma,Overhead Camshaft,Manual,Pale White,Hardtop,Middletown
21-01-2022,Rabun Used Car Sales,Nissan,Sentra,Double Overhead Camshaft,Auto,Black,Passenger,Scottsdale
